,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,pc,2022RM1,50.7606,-99.6775, 2022-05-25 14:37:57,400.0, UC,2022-06-14 12:37:45+00:00
1,nt,FS004-22,63.7368,-121.369, 2022-06-02 22:49:00,190.0, OC,2022-06-14 12:37:45+00:00
2,nt,FS003-22,62.1872,-121.94, 2022-06-02 22:58:00,1211.0, OC,2022-06-14 12:37:45+00:00
3,yt,2022WL001,60.0275,-128.745, 2022-05-23 03:49:00,2.0, UC,2022-06-14 12:37:45+00:00
4,bc,2022-G80265,57.3972,-122.377, 2022-06-03 22:56:00,545.0, UC,2022-06-14 12:37:45+00:00
5,yt,2022MA002,64.3357,-133.579, 2022-06-04 21:44:00,400.0, OC,2022-06-14 12:37:45+00:00
6,ns,09-011-2022,44.8989,-63.1841, 2022-06-08 07:00:00,1.9, UC,2022-06-14 12:37:45+00:00
7,ns,05-002-2022,44.4659,-65.6098, 2022-06-07 22:00:00,50.0, UC,2022-06-14 12:37:45+00:00
8,yt,2022CA001,62.7804,-137.335, 2022-06-07 23:40:00,0.01, UC,2022-06-14 12:37:45+00:00
9,ab,HWF-013-2022,59.71,-119.767, 2022-06-01 17:48:00,8300.0, BH,2022-06-14 12:37:45+00:00
10,ab,HWF-015-2022,59.2928,-118.997, 2022-06-01 22:00:00,3000.0, UC,2022-06-14 12:37:45+00:00
11,bc,2022-G90274,59.9817,-120.022, 2022-06-05 23:10:00,488.11, OC,2022-06-14 12:37:45+00:00
12,nt,SS006-22,60.9035,-113.242, 2022-06-09 23:54:00,2.5, OC,2022-06-14 12:37:45+00:00
13,ak,Kokwok,59.7511,-158.225, 2022-06-06 00:00:00,1618.74, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
14,ak,Contact Creek,58.2192,-155.966, 2022-05-29 00:00:00,3607.52, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
15,sk,22LA-MCCAFE,55.3791,-104.602, 2022-06-03 06:00:00,11426.0, OC,2022-06-14 12:37:45+00:00
16,nt,SS005-22,60.7167,-118.033, 2022-06-08 23:16:00,5.0, BH,2022-06-14 12:37:45+00:00
17,ak,Swift River,61.4589,-154.965, 2022-06-07 00:00:00,1676.81, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
18,ak,Telaquana River,61.0183,-154.344, 2022-06-06 00:00:00,3146.55, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
19,ak,Stony River,61.5796,-156.012, 2022-06-05 00:00:00,8131.98, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
20,ak,Hook Creek,60.9936,-156.161, 2022-06-05 00:00:00,1118.51, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
21,ab,HWF-023-2022,57.4189,-116.153, 2022-06-08 23:58:00,13.5, UC,2022-06-14 12:37:45+00:00
22,ak,Gagaryah River,61.5759,-155.85, 2022-06-05 00:00:00,7073.65, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
23,ab,SWF-035-2022,56.9006,-113.989, 2022-06-04 22:11:00,262.5, UC,2022-06-14 12:37:45+00:00
24,nt,ZF003-22,62.9074,-114.852, 2022-06-11 18:19:00,16.0, BH,2022-06-14 12:37:45+00:00
25,bc,2022-G70298,55.6979,-120.316, 2022-06-12 22:28:00,0.2, UC,2022-06-14 12:37:45+00:00
26,nt,ZF004-22,62.9241,-114.851, 2022-06-11 18:48:00,0.3, UC,2022-06-14 12:37:45+00:00
27,nt,SS009-22,60.3303,-116.692, 2022-06-11 01:15:00,10.0, OC,2022-06-14 12:37:45+00:00
28,nt,SS007-22,61.1333,-117.933, 2022-06-10 01:39:00,2.5, UC,2022-06-14 12:37:45+00:00
29,pc,2022WB2,59.4688,-112.657, 2022-06-11 03:19:41,7.5, UC,2022-06-14 12:37:45+00:00
30,ab,HWF-030-2022,58.5299,-115.156, 2022-06-11 19:30:00,0.1, UC,2022-06-14 12:37:45+00:00
31,ab,GWF-023-2022,55.2794,-119.908, 2022-06-12 20:51:00,0.1, UC,2022-06-14 12:37:45+00:00
32,ab,HWF-028-2022,59.458,-117.68, 2022-06-10 22:17:00,6.6, UC,2022-06-14 12:37:45+00:00
33,bc,2022-V50296,49.5197,-123.295, 2022-06-12 20:34:00,0.01, OC,2022-06-14 12:37:45+00:00
34,ab,HWF-022-2022,59.9611,-119.974, 2022-06-08 22:50:00,36.0, BH,2022-06-14 12:37:45+00:00
35,ak,Titnuk Creek,60.8,-157.015, 2022-06-08 00:00:00,7161.87, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
36,ak,Door Mountain,61.1625,-156.086, 2022-06-08 00:00:00,1159.38, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
37,ak,Iowithla River,59.2058,-158.094, 2022-06-08 00:00:00,3876.32, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
38,ak,Sawpit Creek,61.2276,-159.343, 2022-06-07 00:00:00,9712.44, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
39,ak,Fourth of July Creek,62.7358,-156.596, 2022-06-06 00:00:00,13354.6, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
40,ak,Hog Butte,63.6774,-153.572, 2022-06-05 00:00:00,11331.2, Staffed/Uncontained,2022-06-14 12:37:45+00:00
41,ak,Tatlawiksuk,62.3325,-155.299, 2022-06-04 00:00:00,29464.8, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
42,ab,MWF-015-2022,59.8867,-111.135, 2022-06-12 22:49:00,0.01, BH,2022-06-14 12:37:45+00:00
43,ak,Tuklung River,58.9357,-159.455, 2022-06-06 00:00:00,1414.41, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
44,nt,SS008-22,60.75,-116.483, 2022-06-10 02:15:00,1.0, UC,2022-06-14 12:37:45+00:00
45,conus,Graham,40.05,-121.776, 2022-06-09 18:00:00,71.685, 15% contained,2022-06-14 12:37:45+00:00
46,pc,2022WB1,59.4767,-112.624, 2022-06-11 03:16:23,6.8, UC,2022-06-14 12:37:45+00:00
47,ab,HWF-014-2022,59.9713,-120.0, 2022-06-01 19:05:00,386.0, BH,2022-06-14 12:37:45+00:00
48,mb,NO001,56.5836,-99.2147, 2022-06-12 05:00:00,1100.0, OC,2022-06-14 12:37:45+00:00
49,ak,Aghaluk Mountain,61.5703,-158.006, 2022-06-06 00:00:00,50585.6, Staffed/Uncontained,2022-06-14 12:37:45+00:00
50,ak,East Fork,62.3658,-162.799, 2022-05-31 00:00:00,62121.2, Staffed/Uncontained,2022-06-14 12:37:45+00:00
51,mb,WE003,54.3072,-100.705, 2022-06-12 05:00:00,3.0, OC,2022-06-14 12:37:45+00:00
