,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
0,ab,EWF-015-2023,53.6828,-115.948, 2023-04-29 20:20:00,46.57, UC,,2023-06-04 20:38:39
1,ab,LWF-047-2023,54.6685,-111.908, 2023-04-26 18:09:00,0.1, UC,,2023-06-04 20:38:39
2,ab,HWF-008-2023,58.4787,-114.536, 2023-04-17 23:22:00,0.01, UC,,2023-06-04 20:38:39
3,ab,EWF-014-2023,53.1571,-116.952, 2023-04-27 02:43:00,0.79, UC,,2023-06-04 20:38:39
4,ab,WWF-015-2023,54.0948,-115.322, 2023-04-29 23:00:00,47.0, UC,,2023-06-04 20:38:39
5,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC, MDT,2023-06-04 20:38:39
6,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, UC, MDT,2023-06-04 20:38:39
7,ab,PWF-008-2023,56.4749,-117.295, 2023-04-17 01:50:00,64.6, UC,,2023-06-04 20:38:39
8,ab,HWF-002-2023,58.5221,-115.167, 2023-03-30 20:05:00,0.1, UC,,2023-06-04 20:38:39
9,ak,Windfall Mountain Coal Seam,65.0282,-141.246, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,2023-06-04 20:38:39
10,sk,23LA-DECEPTION,56.5541,-104.258, 2023-05-12 17:58:36,1000.0, OC, CST,2023-06-04 20:38:39
11,ak,FWA SAC Rx,64.8023,-147.613, 2023-04-21 00:00:00,819.49, Prescribed,,2023-06-04 20:38:39
12,ab,RWF-012-2023,52.4403,-115.374, 2023-04-28 16:30:00,46.0, UC,,2023-06-04 20:38:39
13,sk,23LA-KOLWASKIE,57.2352,-102.716, 2023-05-12 17:23:55,3500.0, OC, CST,2023-06-04 20:38:39
14,ak,Trout Creek Coal Seam,65.0973,-141.639, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,2023-06-04 20:38:39
15,bc,2023-G70298,55.9873,-120.51, 2023-05-14 01:06:00,25.86, UC, PDT,2023-06-04 20:38:39
16,bc,2023-N10281,49.1964,-115.142, 2023-05-13 01:33:00,9.98, UC, PDT,2023-06-04 20:38:39
17,ab,LWF-120-2023,56.2228,-110.948, 2023-05-16 21:25:00,5.6, UC, MDT,2023-06-04 20:38:39
18,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,165.0, BH, MDT,2023-06-04 20:38:39
