,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2023-G80173,56.934,-120.978, 2023-05-03 00:33:00,4.0, UC,2023-05-05 16:36:07
1,bc,2023-G70168,55.6748,-120.101, 2023-05-02 22:21:00,1.0, UC,2023-05-05 16:36:07
2,bc,2023-G80117,56.5133,-122.007, 2023-04-29 00:18:00,50.0, UC,2023-05-05 16:36:07
3,bc,2023-C50100,52.0351,-123.177, 2023-04-27 21:19:00,209.0, BH,2023-05-05 16:36:07
4,bc,2023-C40197,51.292,-122.009, 2023-05-04 01:34:00,53.0, BH,2023-05-05 16:36:07
5,ab,EWF-027-2023,53.341,-117.133, 2023-05-03 23:04:00,0.01, UC,2023-05-05 16:36:07
6,ab,EWF-028-2023,53.7142,-115.817, 2023-05-04 00:30:00,0.1, UC,2023-05-05 16:36:07
7,bc,2023-G70170,55.8229,-120.964, 2023-05-02 23:37:00,4.1, BH,2023-05-05 16:36:07
8,bc,2023-C20093,51.9843,-122.636, 2023-04-27 00:31:00,60.0, UC,2023-05-05 16:36:07
9,mb,EA004,51.7097,-98.6408, 2023-05-03 05:00:00,50.0, UC,2023-05-05 16:36:07
10,ab,WWF-022-2023,54.2065,-116.031, 2023-05-04 21:45:00,0.01, UC,2023-05-05 16:36:07
11,ns,05-05-2023,44.341,-65.9681, 2023-05-04 06:00:00,1.0, UC,2023-05-05 16:36:07
12,bc,2023-R30212,54.8237,-127.112, 2023-05-05 02:19:00,0.01, OC,2023-05-05 16:36:07
13,ab,RWF-031-2023,52.3649,-115.901, 2023-05-04 22:00:00,90.0, OC,2023-05-05 16:36:07
14,bc,2023-N50196,49.4189,-117.608, 2023-05-04 01:25:00,3.5, BH,2023-05-05 16:36:07
15,bc,2023-K40194,50.8109,-119.656, 2023-05-04 00:36:00,0.01, UC,2023-05-05 16:36:07
16,ab,RWF-030-2023,52.8647,-115.819, 2023-05-04 18:59:00,0.01, BH,2023-05-05 16:36:07
17,ab,GWF-015-2023,55.6533,-119.007, 2023-05-01 02:25:00,7.4, UC,2023-05-05 16:36:07
18,bc,2023-G70116,56.0751,-120.689, 2023-04-29 00:10:00,10.0, UC,2023-05-05 16:36:07
19,pc,2023BA2,51.1985,-115.542, 2023-04-28 23:01:35,24.0, UC,2023-05-05 16:36:07
20,ab,WWF-021-2023,54.6023,-116.283, 2023-05-04 17:09:00,0.01, UC,2023-05-05 16:36:07
21,sk,23PA-MIR01,53.1255,-106.822, 2023-05-03 16:06:36,5.0, UC,2023-05-05 16:36:07
22,sk,23WY-LRIR02,53.5144,-105.979, 2023-05-04 17:57:04,2.5, UC,2023-05-05 16:36:07
23,ab,PWF-028-2023,56.4769,-116.413, 2023-05-05 02:12:00,0.8, BH,2023-05-05 16:36:07
24,ab,SWF-059-2023,56.0543,-115.008, 2023-05-04 22:00:00,2.5, OC,2023-05-05 16:36:07
25,bc,2023-G70124,55.8354,-121.848, 2023-04-29 05:31:00,100.0, BH,2023-05-05 16:36:07
26,nl,104,49.0471,-55.0471, 2023-04-30 00:00:00,3.0, UC,2023-05-05 16:36:07
27,bc,2023-K70092,50.762,-122.783, 2023-04-26 23:51:00,7.7, UC,2023-05-05 16:36:07
28,pc,2023PA1,53.908,-106.08, 2023-04-29 22:03:29,40.0, UC,2023-05-05 16:36:07
29,bc,2023-G70131,55.4533,-120.059, 2023-04-29 21:10:00,10.0, UC,2023-05-05 16:36:07
30,ab,RWF-021-2023,52.5116,-115.595, 2023-05-03 22:14:00,0.5, UC,2023-05-05 16:36:07
31,ab,SWF-065-2023,56.0015,-114.9, 2023-05-05 03:15:00,0.2, BH,2023-05-05 16:36:07
32,bc,2023-V50205,49.8282,-124.131, 2023-05-04 20:58:00,0.5, BH,2023-05-05 16:36:07
33,mb,EA006,49.6353,-95.6661, 2023-05-04 05:00:00,7.0, BH,2023-05-05 16:36:07
34,ab,CWF-003-2023,51.2221,-114.85, 2023-05-01 21:25:00,0.5, UC,2023-05-05 16:36:07
35,ab,RWF-027-2023,52.82,-115.905, 2023-05-04 02:00:00,1200.0, OC,2023-05-05 16:36:07
36,sk,23HB-DELTA,53.9605,-102.404, 2023-05-03 10:40:34,259.0, OC,2023-05-05 16:36:07
37,bc,2023-G70141,55.9928,-120.61, 2023-04-30 01:04:00,4.0, UC,2023-05-05 16:36:07
38,bc,2023-C40109,51.2228,-121.561, 2023-04-28 21:06:00,10.5, UC,2023-05-05 16:36:07
39,ab,LWF-040-2023,55.944,-110.736, 2023-04-23 21:26:00,150.0, BH,2023-05-05 16:36:07
40,ab,RWF-014-2023,52.9552,-114.958, 2023-04-30 20:14:00,48.5, UC,2023-05-05 16:36:07
41,pc,2023WL2,49.0793,-113.844, 2023-04-29 16:56:15,240.0, OC,2023-05-05 16:36:07
42,ab,SWF-053-2023,55.093,-115.975, 2023-05-01 22:39:00,40.0, BH,2023-05-05 16:36:07
43,ab,MWF-009-2023,56.4365,-111.201, 2023-05-02 20:32:00,16.1, BH,2023-05-05 16:36:07
44,ab,PWF-027-2023,56.4153,-118.698, 2023-05-04 03:19:00,0.4, BH,2023-05-05 16:36:07
45,ab,EWF-026-2023,53.7428,-115.856, 2023-05-03 20:28:00,2.5, UC,2023-05-05 16:36:07
46,ab,EWF-029-2023,53.1687,-115.648, 2023-05-04 01:38:00,0.2, UC,2023-05-05 16:36:07
47,bc,2023-G70195,55.677,-120.114, 2023-05-04 01:05:00,1.8, OC,2023-05-05 16:36:07
48,pc,2023RM1,50.6668,-100.061, 2023-05-02 23:27:57,115.3, UC,2023-05-05 16:36:07
49,ab,PWF-025-2023,56.2657,-117.33, 2023-05-03 22:38:00,1.8, UC,2023-05-05 16:36:07
50,ab,LWF-088-2023,55.9351,-110.719, 2023-05-04 17:17:00,0.01, UC,2023-05-05 16:36:07
51,ab,LWF-085-2023,55.9272,-110.723, 2023-05-04 15:55:00,0.01, UC,2023-05-05 16:36:07
52,pc,2023BA3,51.2073,-115.535, 2023-05-04 19:43:17,3.3, BH,2023-05-05 16:36:07
53,ab,RWF-026-2023,53.1024,-115.681, 2023-05-04 01:53:00,0.4, BH,2023-05-05 16:36:07
54,ab,GWF-016-2023,55.791,-119.192, 2023-05-04 00:13:00,3.0, UC,2023-05-05 16:36:07
55,ab,LWF-090-2023,54.8265,-113.588, 2023-05-04 19:18:00,0.02, BH,2023-05-05 16:36:07
56,ab,HWF-030-2023,58.468,-114.484, 2023-05-02 21:29:00,4383.0, OC,2023-05-05 16:36:07
57,ab,LWF-087-2023,55.9172,-110.735, 2023-05-04 17:05:00,0.01, UC,2023-05-05 16:36:07
58,bc,2023-G80122,56.7135,-121.082, 2023-04-29 02:53:00,40.0, OC,2023-05-05 16:36:07
59,ab,EWF-030-2023,53.3757,-116.843, 2023-05-04 17:13:00,0.2, UC,2023-05-05 16:36:07
60,ab,LWF-089-2023,54.7982,-111.819, 2023-05-04 18:20:00,0.3, UC,2023-05-05 16:36:07
61,ab,WWF-015-2023,54.0948,-115.322, 2023-04-29 23:00:00,47.0, UC,2023-05-05 16:36:07
62,bc,2023-G80175,56.558,-121.921, 2023-05-03 04:05:00,180.0, OC,2023-05-05 16:36:07
63,ab,WWF-020-2023,54.5988,-116.386, 2023-05-04 16:57:00,0.01, UC,2023-05-05 16:36:07
64,ab,SWF-061-2023,55.9931,-114.98, 2023-05-04 22:13:00,0.08, OC,2023-05-05 16:36:07
65,bc,2023-N70201,50.6148,-117.017, 2023-05-04 03:08:00,4.0, BH,2023-05-05 16:36:07
66,ab,WCU-002-2023,53.6246,-115.101, 2023-04-30 01:37:00,2400.0, OC,2023-05-05 16:36:07
67,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, OC,2023-05-05 16:36:07
68,pc,2023BA4,51.3587,-116.038, 2023-05-05 01:12:33,0.1, UC,2023-05-05 16:36:07
69,bc,2023-C40128,51.3709,-120.999, 2023-04-29 19:57:00,113.0, UC,2023-05-05 16:36:07
70,sk,23LX-CLFN01,55.0965,-108.286, 2023-05-04 13:30:27,0.5, OC,2023-05-05 16:36:07
71,ab,MWF-010-2023,56.9355,-111.549, 2023-05-03 18:24:00,18.7, UC,2023-05-05 16:36:07
72,bc,2023-G70182,55.7138,-121.507, 2023-05-03 21:08:00,1.0, BH,2023-05-05 16:36:07
73,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, BH,2023-05-05 16:36:07
74,ab,HWF-036-2023,58.4906,-119.403, 2023-05-03 22:26:00,1822.0, OC,2023-05-05 16:36:07
75,sk,23DN-TIPS,54.4902,-108.548, 2023-05-04 16:32:37,0.1, UC,2023-05-05 16:36:07
76,bc,2023-G70189,55.888,-120.216, 2023-05-03 23:49:00,63.0, UC,2023-05-05 16:36:07
77,bc,2023-K40206,51.0763,-118.942, 2023-05-04 21:04:00,0.01, OC,2023-05-05 16:36:07
78,ab,RWF-033-2023,52.8863,-115.899, 2023-05-04 22:16:00,2.0, OC,2023-05-05 16:36:07
79,ab,RWF-036-2023,52.5445,-115.421, 2023-05-05 01:00:00,1.0, OC,2023-05-05 16:36:07
80,ab,LWF-092-2023,55.9285,-110.727, 2023-05-05 01:30:00,0.5, UC,2023-05-05 16:36:07
81,sk,23LX-SHAW,55.5584,-108.38, 2023-05-04 17:17:17,3.0, OC,2023-05-05 16:36:07
82,ab,RWF-035-2023,52.5191,-115.489, 2023-05-04 23:27:00,0.1, BH,2023-05-05 16:36:07
83,bc,2023-R10185,54.1994,-125.805, 2023-05-03 22:23:00,5.0, UC,2023-05-05 16:36:07
84,ab,PWF-029-2023,56.3787,-119.316, 2023-05-05 03:06:00,0.1, BH,2023-05-05 16:36:07
85,sk,23PA-LILLY,53.0138,-106.191, 2023-04-29 17:55:27,648.0, UC,2023-05-05 16:36:07
86,sk,23BN-VERMETTE,55.6443,-109.219, 2023-04-29 19:52:08,2900.0, OC,2023-05-05 16:36:07
87,sk,23LF-ROCKY,53.7017,-104.596, 2023-05-02 14:27:34,908.0, OC,2023-05-05 16:36:07
88,sk,23WY-MOLLY,54.5035,-105.54, 2023-05-04 14:07:09,30.0, OC,2023-05-05 16:36:07
89,ab,SWF-062-2023,56.0555,-115.018, 2023-05-04 22:25:00,0.01, BH,2023-05-05 16:36:07
