,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,response_type,timestamp
0,bc,2023-R21522,54.4197,-126.408, 2023-07-11 03:11:00,120.0, OC, PDT, FUL,2023-07-17 04:43:01
1,bc,2023-R21296,54.4299,-126.396, 2023-07-08 22:33:00,142.0, OC, PDT, FUL,2023-07-17 04:43:01
2,bc,2023-R41463,55.6062,-127.246, 2023-07-10 03:41:00,0.1, OC, PDT, FUL,2023-07-17 04:43:01
3,bc,2023-V31734,50.1144,-123.383, 2023-07-16 00:00:00,0.0, OC, PDT, FUL,2023-07-17 04:43:01
4,bc,2023-V11744,49.2856,-122.4, 2023-07-16 01:16:00,0.01, OC, PDT, FUL,2023-07-17 04:43:01
5,ab,LCU-003-2023,54.8075,-113.08, 2023-05-03 22:55:00,2553.1, UC, MDT, FUL,2023-07-17 04:43:01
6,qc,597,51.7425,-78.4303, 2023-07-07 18:50:00,11163.9, OC, EDT, MON,2023-07-17 04:43:01
7,bc,2023-R21283,54.6134,-126.498, 2023-07-08 18:47:00,0.01, BH, PDT, FUL,2023-07-17 04:43:01
8,bc,2023-G41577,53.7506,-124.345, 2023-07-12 02:15:00,359.0, OC, PDT, MON,2023-07-17 04:43:01
9,bc,2023-K41763,51.1508,-119.478, 2023-07-16 19:57:00,0.01, OC, PDT, FUL,2023-07-17 04:43:01
10,ak,Taiya Point,59.2949,-135.419, 2023-07-13 00:00:00,0.04, Unstaffed/Contained,,,2023-07-17 04:43:01
11,ak,Lake George,63.7853,-144.661, 2023-07-02 00:00:00,16.83, Unstaffed/Contained,,,2023-07-17 04:43:01
12,ak,Billy Creek,63.7846,-143.589, 2023-06-25 00:00:00,155.8, Unstaffed/Uncontaine,,,2023-07-17 04:43:01
13,ak,Louise Creek Coal Seam,63.921,-148.87, 2023-06-14 00:00:00,100.97, Unstaffed/Uncontaine,,,2023-07-17 04:43:01
14,ak,Barley Way,63.9789,-145.35, 2023-05-20 00:00:00,125.49, Unstaffed/Contained,,,2023-07-17 04:43:01
15,ak,Trout Creek Coal Seam,65.0973,-141.639, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,,2023-07-17 04:43:01
16,ak,Windfall Mountain Coal Seam,65.0282,-141.246, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,,2023-07-17 04:43:01
17,qc,535,50.295,-78.1756, 2023-07-01 16:06:00,22666.6, UC, EDT, FUL,2023-07-17 04:43:01
18,mb,WE035,54.1517,-101.753, 2023-07-02 05:00:00,19.0, UC, CDT, FUL,2023-07-17 04:43:01
19,mb,WE039,53.195,-99.8678, 2023-07-09 05:00:00,1.5, UC, CDT, FUL,2023-07-17 04:43:01
20,mb,NO007,54.5228,-97.7611, 2023-05-15 05:00:00,3436.1, UC, CDT, FUL,2023-07-17 04:43:01
21,qc,467,50.7289,-76.2622, 2023-06-11 18:55:00,88741.1, UC, EDT, FUL,2023-07-17 04:43:01
22,on,COC_FIRE_038,50.7194,-79.8475, 2023-07-05 12:49:00,12544.9, OC, GMT, MON,2023-07-17 04:43:01
23,ab,SWF-116-2023,57.1762,-113.801, 2023-07-08 00:05:00,9423.9, BH, MDT, FUL,2023-07-17 04:43:01
24,yt,2023WL003,60.46,-125.972, 2023-06-02 16:27:00,1728.86, OC, PDT, FUL,2023-07-17 04:43:01
25,yt,2023WL007,60.7532,-130.739, 2023-06-29 23:42:00,5000.0, OC, PDT, FUL,2023-07-17 04:43:01
26,qc,581,52.7619,-78.4436, 2023-07-05 13:38:00,232.1, OC, EDT, MON,2023-07-17 04:43:01
27,qc,602,52.7772,-78.32, 2023-07-05 13:38:00,13272.8, OC, EDT, MON,2023-07-17 04:43:01
28,qc,607,51.8936,-76.8686, 2023-07-05 16:43:00,268.5, OC, EDT, MON,2023-07-17 04:43:01
29,qc,608,50.8381,-78.4067, 2023-07-05 19:49:00,42747.7, OC, EDT, MON,2023-07-17 04:43:01
30,ab,MWF-043-2023,59.7624,-111.149, 2023-06-30 17:54:00,45224.0, OC, MDT, FUL,2023-07-17 04:43:01
31,on,THU_FIRE_030,48.1705,-89.1504, 2023-07-16 17:40:00,0.1, OC, GMT, FUL,2023-07-17 04:43:01
32,qc,595,51.7064,-77.4492, 2023-07-05 21:00:00,2030.7, OC, EDT, MON,2023-07-17 04:43:01
33,qc,604,51.7181,-77.0631, 2023-07-05 16:33:00,169.0, OC, EDT, MON,2023-07-17 04:43:01
34,ab,PWF-081-2023,56.6147,-119.629, 2023-06-30 19:34:00,0.36, BH, MDT, FUL,2023-07-17 04:43:01
35,pc,2023KO5,50.7411,-115.928, 2023-07-13 02:13:50,0.09, OC, MDT, FUL,2023-07-17 04:43:01
36,pc,2023KO4,50.725,-115.959, 2023-07-09 15:30:07,10.0, OC, MDT, MOD,2023-07-17 04:43:01
37,qc,577,51.22,-77.1336, 2023-07-05 16:29:00,3796.7, OC, EDT, MON,2023-07-17 04:43:01
38,bc,2023-V11337,49.9815,-121.64, 2023-07-09 01:46:00,176.0, OC, PDT, MOD,2023-07-17 04:43:01
39,bc,2023-R91746,58.0504,-130.214, 2023-07-16 02:45:00,0.1, OC, PDT, FUL,2023-07-17 04:43:01
40,bc,2023-G71701,55.4915,-122.011, 2023-07-15 01:06:00,0.3, UC, PDT, FUL,2023-07-17 04:43:01
41,bc,2023-G11748,53.713,-123.195, 2023-07-16 03:46:00,1.5, OC, PDT, FUL,2023-07-17 04:43:01
42,qc,590,51.9708,-77.9328, 2023-07-05 14:16:00,60325.1, OC, EDT, MOD,2023-07-17 04:43:01
43,qc,593,51.4725,-77.3678, 2023-07-07 00:30:00,7385.5, OC, EDT, MOD,2023-07-17 04:43:01
44,yt,2023RR004,62.8167,-132.567, 2023-07-13 04:15:00,460.0, OC, PDT, FUL,2023-07-17 04:43:01
45,ab,HWF-132-2023,58.1001,-114.992, 2023-07-14 16:45:00,3.1, OC, MDT, FUL,2023-07-17 04:43:01
46,qc,578,51.1294,-77.0175, 2023-07-05 17:01:00,2533.0, OC, EDT, MON,2023-07-17 04:43:01
47,ab,HWF-130-2023,59.4662,-119.951, 2023-07-13 21:50:00,5373.0, OC, MDT, FUL,2023-07-17 04:43:01
48,bc,2023-V31141,49.6938,-122.915, 2023-07-05 21:15:00,21.0, UC, PDT, FUL,2023-07-17 04:43:01
49,bc,2023-R41762,55.3062,-127.218, 2023-07-16 19:54:00,0.1, OC, PDT, FUL,2023-07-17 04:43:01
50,bc,2023-G71672,55.3182,-121.823, 2023-07-14 00:28:00,1.6, UC, PDT, FUL,2023-07-17 04:43:01
51,bc,2023-R21260,54.1825,-127.795, 2023-07-08 04:39:00,0.01, BH, PDT, FUL,2023-07-17 04:43:01
52,bc,2023-G11618,53.3731,-123.164, 2023-07-13 01:39:00,25.0, BH, PDT, FUL,2023-07-17 04:43:01
53,bc,2023-N11737,49.2223,-115.179, 2023-07-16 00:56:00,0.1, UC, PDT, FUL,2023-07-17 04:43:01
54,bc,2023-N41766,51.9294,-118.613, 2023-07-16 20:59:00,0.02, OC, PDT, MOD,2023-07-17 04:43:01
55,bc,2023-C51571,52.7728,-125.58, 2023-07-12 00:54:00,1950.0, OC, PDT, FUL,2023-07-17 04:43:01
56,bc,2023-C11749,52.7614,-122.157, 2023-07-16 04:32:00,0.01, UC, PDT, FUL,2023-07-17 04:43:01
57,ab,HWF-102-2023,58.7211,-115.859, 2023-07-03 16:31:00,1499.0, OC, MDT, FUL,2023-07-17 04:43:01
58,ab,HWF-124-2023,59.0466,-117.081, 2023-07-09 17:50:00,403.0, OC, MDT, FUL,2023-07-17 04:43:01
59,sk,23SR-DORRELL,59.9838,-106.805, 2023-07-13 08:19:39,219.0, OC, CST, MOD,2023-07-17 04:43:01
60,ab,HWF-058-2023,58.1671,-118.42, 2023-06-05 01:03:00,39410.0, OC, MDT, FUL,2023-07-17 04:43:01
61,ab,PWF-067-2023,57.6495,-117.892, 2023-06-24 22:55:00,5248.0, OC, MDT, FUL,2023-07-17 04:43:01
62,ab,PWF-079-2023,57.7076,-118.326, 2023-06-29 23:15:00,3.0, UC, MDT, FUL,2023-07-17 04:43:01
63,bc,2023-G71764,55.9044,-122.804, 2023-07-16 19:37:00,0.2, OC, PDT, FUL,2023-07-17 04:43:01
64,bc,2023-K61692,50.37,-121.159, 2023-07-14 22:09:00,1.4, UC, PDT, FUL,2023-07-17 04:43:01
65,bc,2023-N41612,51.0832,-118.331, 2023-07-13 00:00:00,0.01, BH, PDT, FUL,2023-07-17 04:43:01
66,bc,2023-C11243,53.0419,-123.407, 2023-07-08 03:20:00,1350.0, OC, PDT, FUL,2023-07-17 04:43:01
67,qc,626,51.5406,-76.8922, 2023-07-06 03:00:00,717.5, OC, EDT, MON,2023-07-17 04:43:01
68,sk,23LX-SHAW,55.5584,-108.38, 2023-05-04 17:17:17,191100.0, OC, CST, MOD,2023-07-17 04:43:01
69,ab,HWF-135-2023,57.644,-114.128, 2023-07-16 22:32:00,69.1, OC, MDT, FUL,2023-07-17 04:43:01
70,ab,EWF-031-2023,53.1452,-115.687, 2023-05-04 19:21:00,201913.0, BH, MDT, FUL,2023-07-17 04:43:01
71,bc,2023-VA1735,52.5088,-125.912, 2023-07-15 23:43:00,825.0, OC, PDT, FUL,2023-07-17 04:43:01
72,bc,2023-G61699,55.6614,-125.118, 2023-07-15 00:51:00,7.0, BH, PDT, FUL,2023-07-17 04:43:01
73,bc,2023-N21453,50.6298,-115.737, 2023-07-10 02:31:00,30.0, OC, PDT, MOD,2023-07-17 04:43:01
